,year,month,rank,category,title,author,price,star_score,page_count,item_id
105,2020,3,6,국내도서,작은 아씨들 (영화 공식 원작 소설·오리지널 커버),루이자 메이 올콧,16200,9.0,0,228995066
106,2020,3,7,국내도서,꽝 없는 뽑기 기계,곽유진,11700,9.6,0,234200510
107,2020,3,8,국내도서,당신이 옳다,정혜신,15750,9.2,0,169387318
108,2020,3,9,국내도서,하버드 상위 1퍼센트의 비밀 (리커버 에디션),정주영,14400,8.2,0,229520957
109,2020,3,10,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
110,2020,3,11,국내도서,1cm 다이빙,태수,12150,8.3,0,228695400
111,2020,3,12,국내도서,이상한 과자 가게 전천당 5,히로시마 레이코,10800,9.7,0,234501537
112,2020,3,13,국내도서,이상한 과자 가게 전천당 6,히로시마 레이코,10800,9.7,0,234501741
113,2020,3,14,국내도서,원피스 95,오다 에이치로,4500,9.4,0,235901446
114,2020,3,15,국내도서,이게 정말 마음일까?,요시타케 신스케,12600,9.7,0,235359221
115,2020,3,16,국내도서,타인의 해석,말콤 글래드웰,16650,8.1,0,234661516
116,2020,3,17,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,채사장,20700,8.5,0,219841523
117,2020,3,18,국내도서,내일의 부 1 : 알파편,조던 김장섭,14400,8.2,0,227793196
118,2020,3,19,국내도서,우리가 인생이라 부르는 것들,정재찬,14400,9.5,0,233423187
119,2020,3,20,국내도서,오늘 밤은 굶고 자야지,박상영,12150,9.0,0,234565562
120,2020,3,21,국내도서,우리가 빛의 속도로 갈 수 없다면,김초엽,15300,8.8,0,193591681
121,2020,3,22,국내도서,존리의 부자되기 습관,존 리,13500,7.4,0,226319583
122,2020,3,23,국내도서,더 해빙,이서윤,14400,8.2,0,234004429
123,2020,3,24,국내도서,이 한마디가 나를 살렸다,김미경,21600,9.3,0,234196027
124,2020,3,25,국내도서,흔한남매 안 흔한 일기 1,흔한남매,12600,10.0,0,233312327
125,2020,3,26,국내도서,미국식 영작문 수업,최정숙,13050,9.5,0,230965827
126,2020,3,27,국내도서,"펭수, 디 오리지널",EBS,16200,10.0,0,236705987
127,2020,3,28,국내도서,세계사를 한눈에 꿰뚫는 대단한 지리,팀 마샬,16200,9.4,0,232269703
128,2020,3,29,국내도서,내일의 부 2 : 오메가편,조던 김장섭,14400,8.6,0,227801717
129,2020,3,30,국내도서,방구석 미술관 (아티스트 하우스 에디션),조원재,15120,8.8,0,220394572
130,2020,3,31,국내도서,페스트 (무선),알베르 카뮈,12600,9.1,0,72844934
131,2020,3,32,국내도서,하루 3줄 초등 글쓰기의 기적,윤희솔,13050,9.1,0,228780071
132,2020,3,33,국내도서,사서함 110호의 우편물,이도우,11700,8.8,0,79476997
133,2020,3,34,국내도서,설민석의 삼국지 1,설민석,20700,8.1,0,196255011
134,2020,3,35,국내도서,코스모스,칼 세이건,19800,9.4,0,870950
135,2020,3,36,국내도서,좀비고등학교 코믹스 17,유대영,8820,9.9,0,234274696
136,2020,3,37,국내도서,지적 대화를 위한 넓고 얕은 지식 1,채사장,17100,9.5,0,228727924
137,2020,3,38,국내도서,팩트풀니스,한스 로슬링,17820,8.8,0,184564546
138,2020,3,39,국내도서,아직 멀었다는 말,권여선,13500,9.4,0,230965334
139,2020,3,40,국내도서,귀찮지만 행복해 볼까,권남희,12420,9.4,0,234007632
140,2020,3,41,국내도서,혼돈의 시대 리더의 탄생,도리스 키언스 굿윈,24120,8.8,0,234520915
141,2020,3,42,국내도서,아내를 모자로 착각한 남자,올리버 색스,18900,8.9,0,89822465
142,2020,3,43,국내도서,설민석의 삼국지 2,설민석,20700,9.2,0,198381539
143,2020,3,44,국내도서,총 균 쇠 (무선 제작),재레드 다이아몬드,25200,9.0,0,615014
144,2020,3,45,국내도서,열 문장 쓰는 법,김정선,10800,7.4,0,234083103
145,2020,3,46,국내도서,내가 원하는 것을 나도 모를 때,전승환,14400,9.0,0,225080432
146,2020,3,47,국내도서,재무제표 모르면 주식투자 절대로 하지마라,사경인,17820,8.6,0,226929067
147,2020,3,48,국내도서,펭아트 #컬러링북,한결,16200,10.0,0,236706008
148,2020,3,49,국내도서,주식투자 무작정 따라하기,윤재수,16200,8.1,0,222716064
149,2020,3,50,국내도서,아몬드 (반양장),손원평,11700,8.6,0,106366621
150,2020,4,1,국내도서,2020 제11회 젊은작가상 수상작품집,강화길,4950,7.4,0,236899205
151,2020,4,2,국내도서,더 해빙,이서윤,14400,8.2,0,234004429
152,2020,4,3,국내도서,지리의 힘,팀 마샬,18000,7.5,0,88640864
153,2020,4,4,국내도서,어린 왕자 (리커버 특별판),앙투안 드 생텍쥐페리,9720,9.7,0,236155192
154,2020,4,5,국내도서,흔한남매 4,흔한남매,10800,9.8,0,235689687
155,2020,4,6,국내도서,날씨가 좋으면 찾아가겠어요 (드라마 방영 기념 한정판),이도우,12420,9.4,0,229321278
156,2020,4,7,국내도서,밤은 이야기하기 좋은 시간이니까요,이도우,13500,9.1,0,236708015
157,2020,4,8,국내도서,고양이 해결사 깜냥 1,홍민정,10800,9.8,0,236518019
158,2020,4,9,국내도서,페스트,알베르 카뮈,12600,8.5,0,11267326
159,2020,4,10,국내도서,설민석의 세계사 대모험 5,설민석,10800,10.0,0,237042039
160,2020,4,11,국내도서,타인의 해석,말콤 글래드웰,16650,8.1,0,234661516
161,2020,4,12,국내도서,내일의 부 1 : 알파편,조던 김장섭,14400,8.2,0,227793196
162,2020,4,13,국내도서,설민석의 한국사 대모험 13,설민석,10800,9.8,0,235357026
163,2020,4,14,국내도서,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기,10350,9.3,0,209457983
164,2020,4,15,국내도서,역시 내 청춘 러브코메디는 잘못됐다 14,와타리 와타루,8100,10.0,0,236773327
165,2020,4,16,국내도서,녹나무의 파수꾼 (양장),히가시노 게이고,16020,9.0,0,234568616
166,2020,4,17,국내도서,이수정 이다혜의 범죄 영화 프로파일,이수정,16200,9.1,0,237308581
167,2020,4,18,국내도서,내일의 부 2 : 오메가편,조던 김장섭,14400,8.6,0,227801717
168,2020,4,19,국내도서,"입시설계, 초등부터 시작하라",진동섭,14400,9.4,0,236175054
169,2020,4,20,국내도서,오래 준비해온 대답,김영하,15750,8.6,0,238162190
170,2020,4,21,국내도서,우리가 빛의 속도로 갈 수 없다면,김초엽,15300,8.8,0,193591681
171,2020,4,22,국내도서,세계사를 한눈에 꿰뚫는 대단한 지리,팀 마샬,16200,9.4,0,232269703
172,2020,4,23,국내도서,신부이야기 12,모리 카오루,7200,9.3,0,237275904
173,2020,4,24,국내도서,"알로하, 나의 엄마들 (양장)",이금이,14400,9.6,0,236466932
174,2020,4,25,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
175,2020,4,26,국내도서,정재승의 인간 탐구 보고서 3 : 인간의 감정은 롤러코스터다,정재은,15120,9.8,0,237276249
176,2020,4,27,국내도서,1cm 다이빙,태수,12150,8.3,0,228695400
177,2020,4,28,국내도서,코스모스,칼 세이건,19800,9.4,0,870950
178,2020,4,29,국내도서,사랑 밖의 모든 말들,김금희,13950,9.1,0,237764516
179,2020,4,30,국내도서,당신이 옳다,정혜신,15750,9.2,0,169387318
180,2020,4,31,국내도서,"아무튼, 메모",정혜윤,10800,8.4,0,234798355
181,2020,4,32,국내도서,선물주는산타의 주식투자 시크릿,선물주는산타,14400,8.8,0,237278956
182,2020,4,33,국내도서,2020 선재국어 나침판 실전 모의고사 Vol.2,이선재,18900,9.6,0,236353430
183,2020,4,34,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,채사장,20700,8.5,0,219841523
184,2020,4,35,국내도서,평일도 인생이니까,김신지,15300,9.1,0,236953690
185,2020,4,36,국내도서,시하와 칸타의 장,이영도,11700,8.2,0,231789512
186,2020,4,37,국내도서,하이큐!! 41,후루다테 하루이치,4500,9.8,0,238215797
187,2020,4,38,국내도서,좀비고등학교 코믹스 18,유대영,8820,10.0,0,238278805
188,2020,4,39,국내도서,재무제표 모르면 주식투자 절대로 하지마라,사경인,17820,8.6,0,226929067
189,2020,4,40,국내도서,지적 대화를 위한 넓고 얕은 지식 1,채사장,17100,9.5,0,228727924
190,2020,4,41,국내도서,사서함 110호의 우편물,이도우,11700,8.8,0,79476997
191,2020,4,42,국내도서,언컨택트 Uncontact,김용섭,16200,7.3,0,237756076
192,2020,4,43,국내도서,제주에서 혼자 살고 술은 약해요,이원하,10800,8.8,0,237440010
193,2020,4,44,국내도서,오늘 밤은 굶고 자야지,박상영,12150,9.0,0,234565562
194,2020,4,45,국내도서,주식투자 무작정 따라하기,윤재수,16200,8.1,0,222716064
195,2020,4,46,국내도서,야생의 위로,에마 미첼,19800,9.4,0,235710265
196,2020,4,47,국내도서,아몬드 (반양장),손원평,11700,8.6,0,106366621
197,2020,4,48,국내도서,소설 보다 : 봄 2020,김혜진,1800,8.4,0,236218672
198,2020,4,49,국내도서,내 최애는 악역 영애 1,이노리,9900,9.8,0,238375036
199,2020,5,1,국내도서,오래 준비해온 대답,김영하,15750,8.6,0,238162190
200,2020,5,2,국내도서,더 해빙,이서윤,14400,8.2,0,234004429
201,2020,5,3,국내도서,"소년이 온다 (특별한정판, 양장)",한강,11700,9.4,0,239400216
202,2020,5,4,국내도서,2020 제11회 젊은작가상 수상작품집,강화길,4950,7.4,0,236899205
203,2020,5,5,국내도서,룬샷,사피 바칼,20700,9.3,0,238247221
204,2020,5,6,국내도서,기억 1 (특별판),베르나르 베르베르,13320,8.8,0,240436684
205,2020,5,7,국내도서,기억 2 (특별판),베르나르 베르베르,13320,8.1,0,240436960
206,2020,5,8,국내도서,언컨택트 Uncontact,김용섭,16200,7.3,0,237756076
207,2020,5,9,국내도서,장군이네 떡집,김리리,11700,9.8,0,238609281
208,2020,5,10,국내도서,지리의 힘,팀 마샬,18000,7.5,0,88640864
209,2020,5,11,국내도서,어느 날 공주가 되어버렸다 4 (<프린세스 로즈 가든> 컬러링북(128P)+ 투명스티커 5종 + 루카스 스마트톡 + 엽서 + 박스 포함 한정판),스푼,32400,8.8,0,240128819
210,2020,5,12,국내도서,시절과 기분,김봉곤,12600,7.8,0,238638867
211,2020,5,13,국내도서,지박소년 하나코 군 8,아이다이로,4950,9.8,0,240782100
212,2020,5,14,국내도서,지박소년 하나코 군 7,아이다이로,4950,9.9,0,240781821
213,2020,5,15,국내도서,어린 왕자 (리커버 특별판),앙투안 드 생텍쥐페리,9720,9.7,0,236155192
214,2020,5,16,국내도서,소원 떡집,김리리,11700,9.8,0,238612493
215,2020,5,17,국내도서,트라우마 사전,안젤라 애커만,19800,8.9,0,238236660
216,2020,5,18,국내도서,마법천자문 48,김현수,14220,10.0,0,240816415
217,2020,5,19,국내도서,애쓰지 않고 편안하게,김수현,13500,9.4,0,240541088
218,2020,5,20,국내도서,이수정 이다혜의 범죄 영화 프로파일,이수정,16200,9.1,0,237308581
219,2020,5,21,국내도서,보통의 언어들,김이나,13050,8.2,0,240886101
220,2020,5,22,국내도서,"시선으로부터,",정세랑,12600,8.7,0,241313700
221,2020,5,23,국내도서,임계장 이야기,조정진,13500,9.1,0,236452682
222,2020,5,24,국내도서,코로나 투자 전쟁,정채진,15120,8.6,0,240349013
223,2020,5,25,국내도서,사랑 밖의 모든 말들,김금희,13950,9.1,0,237764516
224,2020,5,26,국내도서,우리가 빛의 속도로 갈 수 없다면,김초엽,15300,8.8,0,193591681
225,2020,5,27,국내도서,식물의 책 (도시 풀꽃 에디션),이소영,13500,8.2,0,237917847
226,2020,5,28,국내도서,뉴턴의 아틀리에,김상욱,17100,9.0,0,237508322
227,2020,5,29,국내도서,만복이네 떡집,김리리,11700,9.8,0,7165205
228,2020,5,30,국내도서,2020 선재국어 국가직.지방직 대비 실전형 봉투 모의고사 2,이선재,10350,10.0,0,238232783
229,2020,5,31,국내도서,공간이 만든 공간,유현준,14850,9.3,0,237766385
230,2020,5,32,국내도서,2020 선재국어 나침판 실전 모의고사 Vol.2,이선재,18900,9.6,0,236353430
231,2020,5,33,국내도서,이상하고 자유로운 할머니가 되고 싶어,박서영(무루),15120,9.2,0,239873881
232,2020,5,34,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,채사장,20700,8.5,0,219841523
233,2020,5,35,국내도서,Go Go 카카오프렌즈 14 : 그리스,김미영,15120,10.0,0,240753455
234,2020,5,36,국내도서,흔한남매 4,흔한남매,10800,9.8,0,235689687
235,2020,5,37,국내도서,페스트,알베르 카뮈,12600,8.5,0,11267326
236,2020,5,38,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
237,2020,5,39,국내도서,세계사를 한눈에 꿰뚫는 대단한 지리,팀 마샬,16200,9.4,0,232269703
238,2020,5,40,국내도서,이렇게 될 줄 몰랐습니다,재수,13500,9.4,0,238716709
239,2020,5,41,국내도서,타인의 해석,말콤 글래드웰,16650,8.1,0,234661516
240,2020,5,42,국내도서,하버드 상위 1퍼센트의 비밀 (하드커버 리커버 에디션),정주영,14400,8.7,0,237807411
241,2020,5,43,국내도서,큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 상,최태성,13050,9.2,0,224595935
242,2020,5,44,국내도서,선물주는산타의 주식투자 시크릿,선물주는산타,14400,8.8,0,237278956
243,2020,5,45,국내도서,고양이 해결사 깜냥 1,홍민정,10800,9.8,0,236518019
244,2020,5,46,국내도서,당근 유치원,안녕달,12600,9.7,0,240118211
